number,contract_name,name,address,banking,bonus,bike_stands,lat,lng,status
1,dublin,CLARENDON ROW,Clarendon Row,0,0,31,53.3409,-6.2625,OPEN
2,dublin,BLESSINGTON STREET,Blessington Street,0,0,20,53.3568,-6.26814,OPEN
3,dublin,BOLTON STREET,Bolton Street,0,0,20,53.3512,-6.26986,OPEN
4,dublin,GREEK STREET,Greek Street,0,0,20,53.3469,-6.27298,OPEN
5,dublin,CHARLEMONT PLACE,Charlemont Street,0,0,40,53.3307,-6.26018,OPEN
6,dublin,CHRISTCHURCH PLACE,Christchurch Place,0,0,20,53.3434,-6.27012,OPEN
7,dublin,HIGH STREET,High Street,0,0,29,53.3436,-6.27507,OPEN
8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,0,0,30,53.3479,-6.24805,OPEN
9,dublin,EXCHEQUER STREET,Exchequer Street,0,0,24,53.343,-6.26358,OPEN
10,dublin,DAME STREET,Dame Street,0,0,16,53.344,-6.2668,OPEN
11,dublin,EARLSFORT TERRACE,Earlsfort Terrace,0,0,30,53.3343,-6.2585,OPEN
12,dublin,ECCLES STREET,Eccles Street,0,0,20,53.3592,-6.26978,OPEN
13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,0,0,30,53.3361,-6.25282,OPEN
14,dublin,FOWNES STREET UPPER,Fownes Street Upper,0,0,30,53.3446,-6.26337,OPEN
15,dublin,HARDWICKE STREET,Hardwicke Street,0,0,16,53.3555,-6.26442,OPEN
16,dublin,GEORGES QUAY,Georges Quay,0,0,20,53.3475,-6.25219,OPEN
17,dublin,GOLDEN LANE,Golden Lane,0,0,20,53.3408,-6.26773,OPEN
18,dublin,GRANTHAM STREET,Grantham Street,0,0,30,53.3341,-6.26544,OPEN
19,dublin,HERBERT PLACE,Herbert Place,0,0,30,53.3344,-6.24557,OPEN
20,dublin,JAMES STREET EAST,James Street East,0,0,30,53.3366,-6.24811,OPEN
21,dublin,LEINSTER STREET SOUTH,Leinster Street South,0,0,30,53.3422,-6.25449,OPEN
22,dublin,TOWNSEND STREET,Townsend Street,0,0,20,53.3459,-6.25461,OPEN
23,dublin,CUSTOM HOUSE,Custom House,0,0,30,53.3483,-6.25466,OPEN
24,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,0,0,20,53.3521,-6.26053,OPEN
25,dublin,MERRION SQUARE EAST,Merrion Square East,0,0,30,53.3394,-6.24655,OPEN
26,dublin,MERRION SQUARE WEST,Merrion Square West,0,0,20,53.3398,-6.25199,OPEN
27,dublin,MOLESWORTH STREET,Molesworth Street,0,0,20,53.3413,-6.25812,OPEN
28,dublin,MOUNTJOY SQUARE WEST,Mountjoy Square West,0,0,30,53.3563,-6.25859,OPEN
29,dublin,ORMOND QUAY UPPER,Ormond Quay Upper,0,0,29,53.3461,-6.268,OPEN
30,dublin,PARNELL SQUARE NORTH,Parnell Square North,0,0,20,53.3537,-6.2653,OPEN
31,dublin,PARNELL STREET,Parnell Street,0,0,20,53.3509,-6.26512,OPEN
32,dublin,PEARSE STREET,Pearse Street,0,0,30,53.3443,-6.25043,OPEN
33,dublin,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,0,0,23,53.349,-6.26031,OPEN
34,dublin,PORTOBELLO HARBOUR,Portobello Harbour,0,0,30,53.3304,-6.26516,OPEN
35,dublin,SMITHFIELD,Smithfield,0,0,30,53.3477,-6.27821,OPEN
36,dublin,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,0,0,40,53.3378,-6.25603,OPEN
37,dublin,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,0,0,30,53.3375,-6.26199,OPEN
38,dublin,TALBOT STREET,Talbot Street,0,0,40,53.351,-6.25294,OPEN
39,dublin,WILTON TERRACE,Wilton Terrace,0,0,20,53.3324,-6.25272,OPEN
40,dublin,JERVIS STREET,Jervis Street,0,0,21,53.3483,-6.26665,OPEN
41,dublin,HARCOURT TERRACE,Harcourt Terrace,0,0,20,53.3328,-6.25794,OPEN
42,dublin,SMITHFIELD NORTH,Smithfield North,0,0,30,53.3496,-6.2782,OPEN
43,dublin,PORTOBELLO ROAD,Portobello Road,0,0,30,53.3301,-6.26804,OPEN
44,dublin,UPPER SHERRARD STREET,Upper Sherrard Street,0,0,30,53.3584,-6.26064,OPEN
45,dublin,DEVERELL PLACE,Deverell Place,0,0,30,53.3515,-6.25527,OPEN
47,dublin,HERBERT STREET,Herbert Street,0,0,40,53.3357,-6.24551,OPEN
48,dublin,EXCISE WALK,Excise Walk,0,0,40,53.3478,-6.24424,OPEN
49,dublin,GUILD STREET,Guild Street,0,0,40,53.3479,-6.24093,OPEN
50,dublin,GEORGES LANE,George's Lane,0,0,40,53.3502,-6.2797,OPEN
51,dublin,YORK STREET WEST,York Street West,0,0,40,53.3393,-6.2647,OPEN
52,dublin,YORK STREET EAST,York Street East,0,0,32,53.3388,-6.262,OPEN
53,dublin,NEWMAN HOUSE,Newman House,0,0,40,53.3371,-6.26059,OPEN
54,dublin,CLONMEL STREET,Clonmel Street,0,0,33,53.336,-6.26298,OPEN
55,dublin,HATCH STREET,Hatch Street,0,0,36,53.334,-6.26071,OPEN
56,dublin,MOUNT STREET LOWER,Mount Street Lower,0,0,40,53.338,-6.24153,OPEN
57,dublin,GRATTAN STREET,Grattan Street,0,0,23,53.3396,-6.24378,OPEN
58,dublin,SIR PATRICK DUN'S,Sir Patrick's Dun,0,0,40,53.3392,-6.24064,OPEN
59,dublin,DENMARK STREET GREAT,Denmark Street Great,0,0,20,53.3556,-6.2614,OPEN
60,dublin,NORTH CIRCULAR ROAD,North Circular Road,0,0,30,53.3596,-6.26035,OPEN
61,dublin,HARDWICKE PLACE,Hardwicke Place,0,0,25,53.357,-6.26323,OPEN
62,dublin,LIME STREET,Lime Street,0,0,40,53.346,-6.24358,OPEN
63,dublin,FENIAN STREET,Fenian Street,0,0,35,53.3414,-6.24672,OPEN
64,dublin,SANDWITH STREET,Sandwith Street,0,0,40,53.3452,-6.24716,OPEN
65,dublin,CONVENTION CENTRE,Convention Centre,0,0,40,53.3474,-6.23852,OPEN
66,dublin,NEW CENTRAL BANK,New Central Bank,0,0,40,53.3471,-6.23475,OPEN
67,dublin,THE POINT,The Point,0,0,40,53.3469,-6.23085,OPEN
68,dublin,HANOVER QUAY,Hanover Quay,0,0,40,53.3441,-6.23715,OPEN
69,dublin,GRAND CANAL DOCK,Grand Canal Dock,0,0,40,53.3426,-6.2387,OPEN
71,dublin,KEVIN STREET,Kevin Street,0,0,40,53.3378,-6.2677,OPEN
72,dublin,JOHN STREET WEST,John Street West,0,0,31,53.3431,-6.27717,OPEN
73,dublin,FRANCIS STREET,Francis Street,0,0,30,53.3421,-6.27523,OPEN
74,dublin,OLIVER BOND STREET,Oliver Bond Street,0,0,30,53.3439,-6.28053,OPEN
75,dublin,JAMES STREET,James Street,0,0,40,53.3435,-6.28741,OPEN
76,dublin,MARKET STREET SOUTH,Market Street South,0,0,38,53.3423,-6.28766,OPEN
77,dublin,WOLFE TONE STREET,Wolfe Tone Street,0,0,29,53.3489,-6.26746,OPEN
78,dublin,MATER HOSPITAL,Mater Hospital,0,0,40,53.36,-6.26483,OPEN
79,dublin,ECCLES STREET EAST,Eccles Street East,0,0,27,53.3581,-6.2656,OPEN
80,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),0,0,40,53.3414,-6.29295,OPEN
82,dublin,MOUNT BROWN,Mount Brown,0,0,22,53.3416,-6.29719,OPEN
83,dublin,EMMET ROAD,Emmet Road,0,0,40,53.3407,-6.30819,OPEN
84,dublin,BROOKFIELD ROAD,Brookfield Road,0,0,30,53.339,-6.30022,OPEN
85,dublin,ROTHE ABBEY,Rothe Abbey,0,0,35,53.3388,-6.30395,OPEN
86,dublin,PARKGATE STREET,Parkgate Street,0,0,38,53.348,-6.2918,OPEN
87,dublin,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,0,0,38,53.3475,-6.28525,OPEN
88,dublin,BLACKHALL PLACE,Blackhall Place,0,0,30,53.3488,-6.28164,OPEN
89,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,0,0,40,53.3352,-6.2509,OPEN
90,dublin,BENSON STREET,Benson Street,0,0,40,53.3442,-6.23345,OPEN
91,dublin,SOUTH DOCK ROAD,South Dock Road,0,0,30,53.3418,-6.23129,OPEN
92,dublin,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),0,0,40,53.3478,-6.29243,OPEN
93,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),0,0,40,53.3466,-6.29692,OPEN
94,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),0,0,40,53.347,-6.2978,OPEN
95,dublin,ROYAL HOSPITAL,Royal Hospital,0,0,40,53.3439,-6.29706,OPEN
96,dublin,KILMAINHAM LANE,Kilmainham Lane,0,0,30,53.3418,-6.30509,OPEN
97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,0,0,40,53.3421,-6.31002,OPEN
98,dublin,FREDERICK STREET SOUTH,Frederick Street South,0,0,40,53.3415,-6.25685,OPEN
99,dublin,CITY QUAY,City Quay,0,0,30,53.3466,-6.24615,OPEN
100,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),0,0,25,53.3471,-6.29204,OPEN
101,dublin,KING STREET NORTH,King Street North,0,0,30,53.3503,-6.27351,OPEN
102,dublin,WESTERN WAY,Western Way,0,0,40,53.3549,-6.26942,OPEN
103,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),0,0,40,53.3547,-6.27868,OPEN
104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),0,0,40,53.3552,-6.27842,OPEN
105,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),0,0,36,53.356,-6.27838,OPEN
106,dublin,RATHDOWN ROAD,Rathdown Road,0,0,40,53.3589,-6.28034,OPEN
107,dublin,CHARLEVILLE ROAD,Charleville Road,0,0,40,53.3592,-6.28187,OPEN
108,dublin,AVONDALE ROAD,Avondale Road,0,0,35,53.3594,-6.27614,OPEN
109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,0,0,29,53.3533,-6.24932,OPEN
110,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,0,0,40,53.3563,-6.27372,OPEN
111,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,0,0,40,53.3567,-6.25636,OPEN
112,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),0,0,30,53.3578,-6.25156,OPEN
113,dublin,MERRION SQUARE SOUTH,Merrion Square South,0,0,40,53.3386,-6.24861,OPEN
114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),0,0,40,53.3337,-6.24834,OPEN
115,dublin,KILLARNEY STREET,Killarney Street,0,0,30,53.3548,-6.24758,OPEN
116,dublin,BROADSTONE,Broadstone,0,0,30,53.3547,-6.27231,OPEN
117,dublin,HANOVER QUAY EAST,Hanover Quay East,0,0,40,53.3437,-6.23175,OPEN
